idx,title,etc,description,title_en,description_en,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
10,토프 가이즈(The Gentlemen),Action Comedy Crime,"유럽을 장악한 업계의 절대강자 ‘믹키 피어슨’(매튜 맥커너히)은자신이 세운 마리화나 제국을 걸고 돈이라면 무엇이든 벌이는미국의 억만장자와의 빅딜을 시작한다.소문을 듣고 찾아온 무법자 ‘드라이 아이’(헨리 골딩)와돈 냄새를 맡은 사립탐정 ‘플레처’(휴 그랜트)까지 게임에 끼어들게 되면서오랫동안 지켜온 정글의 질서는 점점 무너지기 시작하는데…2월 26일, 고품격 범죄 오락의 신세계가 펼쳐진다!",The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",8,0.090394,0.737535,0.084972,0.053853,0.017121,https://whatdoido.kro.kr/movie/10.jpg
11,해리 포터와 마법사의 돌 (Harry Potter and the Sorcerer's Stone),Adventure Family Fantasy,"《해리 포터와 마법사의 돌》은 2001년 J. K. 롤링의 동명 소설을 원작으로 하여 만든, 영국과 미국 합작, 판타지 영화이다. 8부작 중 첫 번째에 해당하는 작품이다. 크리스 콜럼버스가 감독을 맡았다. 역대 영화 흥행 순위 중 8위에 들어가는 작품이다.",Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",9,0.465515,0.351728,0.10636,0.148262,0.063058,https://whatdoido.kro.kr/movie/11.jpg
12,조커(Joker),Crime Drama Thriller,고담시의 광대 아서 플렉은 코미디언을 꿈꾸는 남자.하지만 모두가 미쳐가는 코미디 같은 세상에서맨 정신으로는 그가 설 자리가 없음을 깨닫게 되는데…이제껏 본 적 없는 진짜 ‘조커’를 만나라!,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",10,0.182215,0.386218,0.173521,0.106123,0.172062,https://whatdoido.kro.kr/movie/12.jpg
13,사운드 오브 뮤직 (The Sound of Music),Biography Drama Family,"《사운드 오브 뮤직》은 1959년 상연된 동명의 뮤지컬을 바탕으로 1965년에 공개된 미국의 영화이다. 로버트 와이즈가 감독을 맡고, 줄리 앤드루스와 크리스토퍼 플러머가 주연을 맡았다. 구(舊) 오스트리아-헝가리 제국 해군 출신 장교인 게오르크 루트비히 폰 트랍이 등장인물로 나와있다.",The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,10,0.008013,0.936173,0.020155,0.012533,0.030963,https://whatdoido.kro.kr/movie/13.jpg
14,가디언즈 오브 갤럭시 (Guardians of the Galaxy),Action Adventure Comedy,"""가디언즈 오브 갤럭시""는 2014년 공개된 마블 코믹스의 동명 슈퍼히어로 팀을 소재로 한 미국의 슈퍼히어로 영화이다. 마블 스튜디오가 제작하고 월트 디즈니 스튜디오 모션 픽처스가 배급했다. 마블 시네마틱 유니버스에 속하는 시리즈로, 10번째 작품에 해당한다.",Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,9,0.064454,0.831038,0.016699,0.020763,0.028418,https://whatdoido.kro.kr/movie/14.jpg
15,블레이드 러너 2049(Blade Runner 2049),Action Drama Mystery,"인간과 리플리컨트가 혼재된 2049년.인간의 통제를 벗어난 리플리컨트를 쫓는 블레이드 러너 ‘K’(라이언 고슬링)는임무 수행 도중 약 30년 전 여자 리플리컨트의 유골을 발견하고충격적으로 출산의 흔적까지 찾아낸다. 리플리컨트가 출산까지 가능하다는 사실이 알려지면사회에 큰 혼란이 야기되므로 이를 덮으려는 경찰 조직과,그 비밀의 단서를 찾아내 더욱 완벽한 리플리컨트를 거느리고세상을 장악하기 위해 ‘K’를 쫓는 ‘니안더 월레스’(자레드 레토). 리플리컨트의 숨겨진 진실에 접근할수록점차 정체성의 혼란을 겪게 되는 ‘K’는 과거 블레이드 러너였던 ‘릭 데커드’(해리슨 포드)를 만나전혀 상상치 못한 진실을 마주하게 되는데..# 리플리컨트: 21세기 초 만들어진 복제인간. 인간과 같은 지적 능력과 사고방식 그리고 신체적 조건을 갖춘, 노동력 제공을 위한 인간의 대체품# 블레이드 러너: 인간의 통제를 벗어난 리플리컨트를 색출해 ‘제거’하는 임무를 가진 특수경찰",Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",,0.539984,0.020675,0.185885,0.021626,0.099822,https://whatdoido.kro.kr/movie/15.jpg
16,왓치맨(Watchmen),Action Drama Mystery,"히어로의 세계에서 은퇴한 후, 신분을 감춘 채 왓치맨(감시자/파수꾼)으로서의 활동을 비공식적으로 계속해오던 히어로 ‘로어셰크’. 어느 날 과거 함께 활약했던 동료가 살해당하는 사건이 발생하자 ‘로어셰크’는 살인사건 이면에 감춰진 진실을 파헤치기 시작하고, 과거 ‘왓치맨’의 역할을 해오던 히어로들을 없애려는 거대한 음모가 있음을 깨닫게 된다.진정한 초능력을 가진 단 한 명을 제외하고 모두 은퇴해서 평범한 삶을 살고 있는 과거의 히어로들. ‘로어셰크’는 한때 동료였던 이들과 다시 접촉하기 시작한다. 그리고 마침내, 히어로 모두의 과거와 얽혀있는, 모두를 파멸로 몰아갈 수 있는 거대한 음모의 실체를 목격하게 되는데…! 그들의 임무는 인류를 감시하는 것.하지만,과연 누가,이 ‘왓치맨’들을 감시할 것인가?!",Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",10,0.131241,0.75285,0.02449,0.010425,0.03453,https://whatdoido.kro.kr/movie/16.jpg
17,펄프 픽션(Pulp Fiction),Crime Drama,"풋내기 좀도둑 커플 하니버니와 펌킨은 위험성이 적고 지갑이 두둑한 손님들이 밀집되어 있는 식당에서 한탕하기로 모의한다. 그러나 하니버니와 펌킨이 총을 빼들고 일을 시작하려는 바로 그 시간 식당에는 진짜 암흑가의 프로들, 마피아의 보스 마르셀러스의 심복인 빈센트와 줄스가 아침식사를 하고 있었다. 빈센트와 줄스는 수수께끼의 검은 서류가방을 찾아오라는 명령을 받는다. 그러나 배반자를 몰살시키고 인질을 데리고 돌아가던중 차 안에서 줄스가 인질을 쏴 죽이자 수다쟁이 지미의 집에서 보스가 보낸 해결사는 능란한 솜씨로 뒷처리를 한다.한편 버치는 마르셀러스에게 권투시합에서 져주기로 하고 거액을 받지만 오히려 자신에게 거액의 돈을 걸고 시합에서 이긴다. 세가지의 섬뜩한 범죄와 인생 이야기가 서로 기술적으로 연결되어 교묘한 조화를 이루고 있는 영화이다.",Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,0.023491,0.911224,0.015867,0.009087,0.029085,https://whatdoido.kro.kr/movie/17.jpg
18,반지의 제왕: 반지 원정대 (The Lord of the Rings: The Fellowship of the Ring),Action Adventure Drama,"《반지의 제왕: 반지 원정대》는 2001년 J. R. R. 톨킨의 동명 소설을 원작으로 하여 만든, 뉴질랜드와 미국 합작, 판타지 서사 영화이다. 반지의 제왕 영화 3부작 중 첫 번째 작품에 해당하며, 피터 잭슨이 감독, 각본, 제작을 맡았다.",The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,10,0.168094,0.550172,0.090641,0.202628,0.097406,https://whatdoido.kro.kr/movie/18.jpg
19,캡틴 아메리카: 시빌 워(Captain America: Civil War),Action Adventure Sci-Fi,어벤져스 VS 어벤져스 분열은 시작되었다! 어벤져스와 관련된 사고로 부수적인 피해가 일어나자 정부는 어벤져스를 관리하고 감독하는 시스템인 일명 ‘슈퍼히어로 등록제’를 내놓는다. 어벤져스 내부는 정부의 입장을 지지하는 찬성파(팀 아이언맨)와 이전처럼 정부의 개입 없이 자유롭게 인류를 보호해야 한다는 반대파(팀 캡틴)로 나뉘어 대립하기 시작하는데...,Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,9,0.079898,0.778433,0.016592,0.062629,0.054497,https://whatdoido.kro.kr/movie/19.jpg
20,더 울프 오브 월 스트리트(The Wolf of Wall Street),Biography Crime Drama,"세상을 발칵 뒤집은 희대의 사기극!최고들이 만들어낸 거짓말 같은 실화!화려한 언변, 수려한 외모, 명석한 두뇌를 지닌 조단 벨포트(레오나르도 디카프리오)는 주가 조작으로 월스트리트 최고의 억만장자가 된다.주체할 수 없이 많은 돈을 손에 쥔 그는 술과 파티, 여자에게 아낌 없이 쏟아 붓고, 급기야 FBI의 표적이 되는데…인생은 한 방! 제대로 사기치고 화끈하게 즐겨라!",The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",10,0.04616,0.771373,0.014127,0.014898,0.012432,https://whatdoido.kro.kr/movie/20.jpg
21,토르: 라그나로크 (Thor: Ragnarok),Action Adventure Comedy,"《토르: 라그나로크》는 마블 코믹스의 캐릭터 토르를 배경으로 하는 2017년 공개된 미국의 슈퍼히어로 영화이며, 마블 스튜디오가 제작, 월트 디즈니 스튜디오스 모션 픽처스가 배급했다.",Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",1,0.422613,0.013276,0.10996,0.27346,0.486248,https://whatdoido.kro.kr/movie/21.jpg
22,데드풀 2 (Deadpool 2),Action Adventure Comedy,"《데드풀 2》는 2018년 개봉한 미국의 슈퍼 히어로 영화이다. 엑스맨 영화 시리즈의 11번째 작품이자, 2016년 영화인 《데드풀》의 후속편이다. 데이비드 리치가 감독을, 렛 리즈와 폴 워닉이 각본을 맡았다.",Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",10,0.052946,0.737033,0.043285,0.017334,0.031367,https://whatdoido.kro.kr/movie/22.jpg
23,인터스텔라(Interstellar),Adventure Drama Sci-Fi,"“우린 답을 찾을 거야, 늘 그랬듯이”세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 이때 시공간에 불가사의한 틈이 열리고, 남은 자들에게는 이 곳을 탐험해 인류를 구해야 하는 임무가 지워진다. 사랑하는 가족들을 뒤로 한 채 인류라는 더 큰 가족을 위해, 그들은 이제 희망을 찾아 우주로 간다. 그리고 우린 답을 찾을 것이다. 늘 그랬듯이…",Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,10,0.032294,0.735465,0.024201,0.045893,0.199955,https://whatdoido.kro.kr/movie/23.jpg
24,올모스트 페이머스(Almost Famous),Adventure Comedy Drama,"1973년, 샌 디에이고 고등학교를 다니는 15세의 윌리암 밀러(패트릭 후지트 분)는 엄마 엘라인(프랜시스 맥도먼드 분)와 함께 살고 있다. 가출한 누나 아니타가 놓고 간 락 레코드를 들으며 자란 윌리암은 친구들과 어울리지 못하는 괴짜이며, 레드 제플린, 페이시스, 더 후, 험블 파이 등의 명 그룹들의 음악만이 유일한 벗이다. 학교 신문에 음악평을 기고했다가 우연한 기회에 록 매거진의 편집장인 록 비평의 선구자 레스터 뱅스(필립 세이모어 호프먼 분)와 친해진 윌리암은 최고 인기의 락그룹 블랙 사바스와 인터뷰할 수 있는 기회를 가지게 된다. 사바스의 공연무대 뒷편에서 \\\'스틸워터(Stillwater)\\\'를 만나 색다른 감동을 느낀 그는 허풍을 쳐서 롤링 스톤즈에서 요청한 스틸워터 그룹의 전국투어 기사를 쓸 수 있는 기회를 얻는다. 그렇게 윌리암은 어머니의 암묵적 허락하에 밴드의 투어에 합류한다.투어 도중 윌리암은 밴드의 리드 기타리스트로 인기 급부상중인 러셀 하몬드(빌리 크루덥 분)와 친분을 쌓고, 스틸워터의 열광적인 팬인 페니 레인(케이트 허드슨 분)과 사랑에 빠진다. 하지만 러셀을 질투라는 리드 싱어 제프 베베(제이슨 리 분)와 러셀 사이에 팽팽한 긴장감과 사랑하는 페니가 유부남 러셀과 자신보다 더 가까운 관계라는 사실을 알게되는 등, 윌리암이 맞딱드린 것은 자신이 동경하던 이들의 진실과 마주하면서 겪는 고통과 좌절이었다.",Almost Famous,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,10,0.458848,0.72901,0.050305,0.046898,0.09603,https://whatdoido.kro.kr/movie/24.jpg
25,인셉션(Inception),Action Adventure Sci-Fi,"타인의 꿈에 들어가 생각을 훔치는 특수 보안요원 코브.그를 이용해 라이벌 기업의 정보를 빼내고자 하는 사이토는코브에게 생각을 훔치는 것이 아닌, 생각을 심는 ‘인셉션’ 작전을 제안한다.성공 조건으로 국제적인 수배자가 되어있는 코브의 신분을 바꿔주겠다는거부할 수 없는 제안을 하고, 사랑하는 아이들에게 돌아가기 위해 그 제안을 받아들인다.최강의 팀을 구성, 표적인 피셔에게 접근해서 ‘인셉션’ 작전을 실행하지만예기치 못한 사건들과 마주하게 되는데…꿈 VS 현실시간, 규칙, 타이밍 모든 것이 완벽해야만 하는,단 한 번도 성공한 적 없는 ‘인셉션’ 작전이 시작된다!",Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,8,0.19806,0.453724,0.162435,0.029246,0.181513,https://whatdoido.kro.kr/movie/25.jpg
26,십계 (The Ten Commandments),Adventure Drama,"《십계》는 1956년 미국에서 개봉한 서사 영화이다. 세실 B. 데밀이 감독을 맡았고, 파라마운트 픽쳐스와 세실 B. 데밀 프로덕션이 공동으로 제작했다. 주요 출연진은 찰턴 헤스턴, 율 브리너, 앤 백스터, 에드워드 G. 로빈슨, 이본 디 카를로 등이다.",The Ten Commandments,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",9,0.096127,0.71247,0.047428,0.047258,0.053302,https://whatdoido.kro.kr/movie/26.jpg
27,캡틴 아메리카: 윈터 솔저 (Captain America: The Winter Soldier),Action Adventure Sci-Fi,《캡틴 아메리카: 윈터 솔져》는 마블 스튜디오에서 제작하고 월트 디즈니 스튜디오 모션 픽처스에서 배급을 맡은 마블 코믹스의 캐릭터 캡틴 아메리카를 원작으로 한 미국의 슈퍼히어로 영화이다.,Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",8,0.116348,0.774707,0.008033,0.077235,0.043472,https://whatdoido.kro.kr/movie/27.jpg
28,벤허 (Ben-Hur),Adventure Drama History,"《벤허》는 1959년 미국에서 개봉된 서사 영화이다. 감독은 윌리엄 와일러, 제작은 메트로-골드윈-메이어의 샘 짐발리스트, 주요 출연진은 찰턴 헤스턴, 스티븐 보이드, 잭 호킨스, 휴 그리피스, 하야 해러릿이다.",Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",9,0.024233,0.800416,0.101409,0.025748,0.044515,https://whatdoido.kro.kr/movie/28.jpg
29,타이타닉 3D(Titanic),Drama Romance,"우연한 기회로 티켓을 구해 타이타닉호에 올라탄 자유로운 영혼을 가진 화가 잭(레오나르도 디카프리오)은 막강한 재력의 약혼자와 함께 1등실에 승선한 로즈(케이트 윈슬렛)에게 한 눈에 반한다. 진실한 사랑을 꿈꾸던 로즈 또한 생애 처음 황홀한 감정에 휩싸이고, 둘은 운명 같은 사랑에 빠지는데…",Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",10,0.039712,0.856471,0.01773,0.02728,0.027774,https://whatdoido.kro.kr/movie/29.jpg
30,바스터즈: 거친 녀석들(Inglourious Basterds),Adventure Drama War,"당한 만큼 그대로 돌려준다!쿠엔틴 타란티노와 브래드 피트가 선사하는 강렬하고 새로운 액션!독일이 무차별적으로 유대인을 학살하던 2차 세계 대전 시기, 나치의 잔인하고 폭력적인 행태에 분개한 유대인 출신의 미군 알도 레인 중위(브래드 피트)는 ‘당한 만큼 돌려준다!’ 는 강렬한 신념으로 그와 뜻을 함께 하는 사람들을 모아 ‘개떼들’ 이라는 조직을 만든다. 각각의 분야에서 재능을 가진 조직원들을 모은 알도 레인은 나치가 점령한 프랑스의 한 작은 마을에 위장 잠입해 당한 것에 몇 배에 달하는 피의 복수를 시작하는데...",Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",9,0.141393,0.693358,0.072815,0.145524,0.067762,https://whatdoido.kro.kr/movie/30.jpg
31,나를 찾아줘(Gone Girl),Drama Mystery Thriller,"우리부부는 누구나 부러워하는 ‘완벽한 커플’이었다.그날, 아내가 사라지기 전까지…모두가 부러워하는 삶을 살아가는 완벽한 커플 닉&amp;에이미. 결혼 5주년 기념일 아침, 에이미가 흔적도 없이 실종된다. 유년시절 어린이 동화시리즈 ‘어메이징 에이미’의 실제 여주인공이었던 유명인사 아내가 사라지자, 세상은 그녀의 실종사건으로 떠들썩해진다. 한편 경찰은, 에이미가 결혼기념일 선물로 숨겨뒀던 편지와 함께 곳곳에서 드러나는 단서들로 남편 닉을 유력한 용의자로 지목한다. 미디어들이 살인 용의자 닉의 일거수일투족을 보도하기 시작하고, 시간이 갈수록 세상의 관심이 그에게 더욱 집중된다. 과연 닉은 아내를 죽였을까? 진실은 무엇일까?",Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",6,0.501755,0.041202,0.122957,0.465059,0.212377,https://whatdoido.kro.kr/movie/31.jpg
32,조조 래빗(Jojo Rabbit),Comedy Drama War,"제2차 세계대전 말기, 엄마 ‘로지’(스칼렛 요한슨)와 단둘이 살고 있는 10살 소년 ‘조조’(로만 그리핀 데이비스).원하던 독일 소년단에 입단하지만 겁쟁이 토끼라 놀림 받을 뿐이다. 상심한 ‘조조’에게 상상 속 친구 ‘히틀러’(타이카 와이티티)는 유일한 위안이 된다. ‘조조’는 어느 날 우연히 집에 몰래 숨어 있던 미스터리한 소녀 ‘엘사’(토마신 맥켄지)를 발견하게 된다.세상에서 가장 위험한 인물이 왜 여기에?!당신을 웃긴 만큼 따뜻하게 안아줄 이야기가 펼쳐진다!",Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,9,0.036249,0.894766,0.012271,0.005711,0.061213,https://whatdoido.kro.kr/movie/32.jpg
33,백 투 더 퓨처 (Back to the Future),Adventure Comedy Sci-Fi,백 투 더 퓨처 시리즈 는 《백 투 더 퓨처》를 첫 작품으로 하는 영화 시리즈이다.,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",,0.127994,0.722395,0.041634,0.073623,0.051166,https://whatdoido.kro.kr/movie/33.jpg
