idx,title,etc,description,review_sadness,review_joy,review_fear,review_disgust,review_anger,description_cluster,url,,
836,The Clan of the Cave Bear,Jean M. Auel,"This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves the,.,A natur,This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves the,.,A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Iza's way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.",0.361548,0.217934,0.147376,0.081056,0.185247,0,https://whatdoido.kro.kr/movie/836.jpg,,
880,The Odyssey,"Homer,Robert Fagles,Bernard Knox","So begins Robert Fagles' magnificent translation of the,, which Jasper Griffin in,hails as \a distinguished achievement.\,If the,is the world's greatest war epic, then the,is liter,So begins Robert Fagles' magnificent translation of the,, which Jasper Griffin in,hails as \a distinguished achievement.\,If the,is the world's greatest war epic, then the,is literature's grandest evocation of everyman's journey though life. Odysseus' reliance on his wit and wiliness for survival in his encounters with divine and natural forces, during his ten-year voyage home to Ithaca after the Trojan War, is at once a timeless human story and an individual test of moral endurance.,In the myths and legends that are retold here, Fagles has captured the energy and poetry of Homer's original in a bold, contemporary idiom, and given us an,to read aloud, to savor, and to treasure for its sheer lyrical mastery.,Renowned classicist Bernard Knox's superb Introduction and textual commentary provide new insights and background information for the general reader and scholar alike, intensifying the strength of Fagles' translation.,This is an,to delight both the classicist and the public at large, and to captivate a new generation of Homer's students.,--,Robert Fagles, winner of the PEN/Ralph Manheim Medal for Translation and a 1996 Academy Award in Literature from the American Academy of Arts and Letters, presents us with Homer's best-loved and most accessible poem in a stunning new modern-verse translation.",0.16315,0.314257,0.046456,0.09163,0.15864,3,https://whatdoido.kro.kr/movie/880.jpg,,
1066,The Confessions of Saint Augustine,Augustine of Hippo,"In this new translation by Henry Chadwick of what can only be considered a masterpiece of Western literature, the brilliant and impassioned descriptions of Augustine's colourful early life and search for spiritual satisfaction are accurately conveyed to the English reader. Augustine's work contains many references and allusions that can hardly be understood without backgro,In this new translation by Henry Chadwick of what can only be considered a masterpiece of Western literature, the brilliant and impassioned descriptions of Augustine's colourful early life and search for spiritual satisfaction are accurately conveyed to the English reader. Augustine's work contains many references and allusions that can hardly be understood without background information about the ancient social and intellectual setting. The accompanying notes and introduction to this translation will therefore prove invaluable to the contemporary reader.",0.143135,0.704667,0.031562,0.009213,0.021194,3,https://whatdoido.kro.kr/movie/1066.jpg,,
1125,Conversations with Lincoln,"Abraham Lincoln,David Herbert Donald,Charles Segal","A Lincoln book that says something new is a rarity. Conversations with Lincoln is just such a book. In it Charles M. Segal has collected and presented more than one hundred interviews with Lincoln as President-elect and President. As a revelation of the intimate, human side of Abraham Lincoln, it will be a source of endless fascination to every reader interested in the Civ,A Lincoln book that says something new is a rarity. Conversations with Lincoln is just such a book. In it Charles M. Segal has collected and presented more than one hundred interviews with Lincoln as President-elect and President. As a revelation of the intimate, human side of Abraham Lincoln, it will be a source of endless fascination to every reader interested in the Civil War era. This is a wide-ranging and engaging volume. The conversations collected here between 1860 and 1865 range from brief remarks to extended discussions. Mr. Segal introduces each interview and the personalities involved. The collection is arranged chronologically, giving a rich picture of the Lincoln presidency. Charles M. Segal was born in Montreal, attended college there, and served in the Royal Canadian Air Force. He holds degrees from Skidmore College and Union College. After World War II, he became a reporter and a foreign correspondent for a number of papers in Canada and the United States. After settling in the U.S., he began his serious study of Lincoln and the Civil War. David Donald is Charles Warren Professor of American History Emeritus at Harvard University",0.100435,0.778945,0.012965,0.016413,0.065284,4,https://whatdoido.kro.kr/movie/1125.jpg,,
1208,Pride and Prejudice,Jane Austen,"Pride and Prejudice has delighted generations of readers with its unforgettable cast of characters, carefully choreographed plot, and a hugely entertaining view of the world and its absurdities. With the arrival of eligible young men in their neighborhood, the lives of Mr. and Mrs. Bennet and their five daughters are turned inside out and upside down. Pride encounters prej,Pride and Prejudice has delighted generations of readers with its unforgettable cast of characters, carefully choreographed plot, and a hugely entertaining view of the world and its absurdities. With the arrival of eligible young men in their neighborhood, the lives of Mr. and Mrs. Bennet and their five daughters are turned inside out and upside down. Pride encounters prejudice, upward-mobility confronts social disdain, and quick-wittedness challenges sagacity, as misconceptions and hasty judgements lead to heartache and scandal, but eventually to true understanding, self-knowledge, and love. In this supremely satisfying story, Jane Austen balances comedy with seriousness, and witty observation with profound insight. If Elizabeth Bennet returns again and again to her letter from Mr Darcy, readers of the novel are drawn even more irresistibly to its captivating wisdom.,--back cover",0.104362,0.436936,0.050341,0.364848,0.121724,3,https://whatdoido.kro.kr/movie/1208.jpg,,
1248,A Tale of Two Cities,Charles Dickens,"It was the time of the French Revolution ??a time of great change and great danger. It was a time when injustice was met by a lust for vengeance, and rarely was a distinction made between the innocent and the guilty. Against this tumultuous historical backdrop, Dickens' great story of unsurpassed adventure and courage unfolds.,Unjustly imprisoned for 18 years in the Bastill,It was the time of the French Revolution ??a time of great change and great danger. It was a time when injustice was met by a lust for vengeance, and rarely was a distinction made between the innocent and the guilty. Against this tumultuous historical backdrop, Dickens' great story of unsurpassed adventure and courage unfolds.,Unjustly imprisoned for 18 years in the Bastille, Dr. Alexandre Manette is reunited with his daughter, Lucie, and safely transported from France to England. It would seem that they could take up the threads of their lives in peace. As fate would have it though, the pair are summoned to the Old Bailey to testify against a young Frenchman ??Charles Darnay ??falsely accused of treason. Strangely enough, Darnay bears an uncanny resemblance to another man in the courtroom, the dissolute lawyer's clerk Sydney Carton. It is a coincidence that saves Darnay from certain doom more than once. Brilliantly plotted, the novel is rich in drama, romance, and heroics that culminate in a daring prison escape in the shadow of the guillotine.,--back cover",0.651491,0.018334,0.126045,0.133965,0.407208,1,https://whatdoido.kro.kr/movie/1248.jpg,,
1260,Hard Times,"Charles Dickens,Karen Odden",", by,, is part of the,series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of,:,New introductions commissioned from today's top write,, by,, is part of the,series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of,:,New introductions commissioned from today's top writers and scholars,Biographies of the authors,Chronologies of contemporary historical, biographical, and cultural events,Footnotes and endnotes,Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work,Comments by other famous authors,Study questions to challenge the reader's viewpoints and expectations,Bibliographies for further reading,Indices & Glossaries, when appropriate,All editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest.,pulls together a constellation of influences?biographical, historical, and literary?to enrich each reader's understanding of these enduring works.,,Set amid smokestacks and factories,,?s,is a blistering portrait of Victorian England as it struggles with the massive economic turmoil brought on by the Industrial Revolution.,Championing the mind-numbing materialism of the period is Thomas Gradgrind, one of Dickens?s most vivid characters. He opens the novel by arguing that boys and girls should be taught ?nothing but Facts. Facts alone are wanted in life.??Forbidding the development of imagination, Gradgrind is ultimately forced to confront the results of his philosophy?his own daughter?s terrible unhappiness.,Full of suspense, humor, and tenderness,,is a brilliant defense of art in an age of mechanism.,received her Ph.D. from New York University, where she did her dissertation on Victorian literature. Most recently a lecturer at University of Wisconsin-Milwaukee, she is now a freelance writer and lives in Arizona.",0.888821,0.021763,0.110027,0.02693,0.073139,3,https://whatdoido.kro.kr/movie/1260.jpg,,
1262,David Copperfield,"Charles Dickens,Gish Jen","The quintessential novel from England's most beloved novelist, David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful author.,The quintessential novel from England's most beloved novelist, David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful author.",0.120304,0.721681,0.030687,0.022778,0.028803,3,https://whatdoido.kro.kr/movie/1262.jpg,,
1269,The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,"A provocative look at mankind's evolution from the ape into the complex creature we call human. By standards of other animals, our powerful civilization appears unique. So do many of our behaviors, including our sexual habits and the ways we select mates. Yet in many respects we are merely another species of ape--our genes are more than 98% identical to those of chimpanzee,A provocative look at mankind's evolution from the ape into the complex creature we call human. By standards of other animals, our powerful civilization appears unique. So do many of our behaviors, including our sexual habits and the ways we select mates. Yet in many respects we are merely another species of ape--our genes are more than 98% identical to those of chimpanzees. 25 line drawings and halftones.",0.095726,0.853623,0.016354,0.02215,0.014173,1,https://whatdoido.kro.kr/movie/1269.jpg,,
1386,The Old Man and the Sea,Ernest Hemingway,"This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses?specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.,This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses?specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.",0.125756,0.592944,0.035704,0.046563,0.045848,2,https://whatdoido.kro.kr/movie/1386.jpg,,
1395,SalammbÃÂ´,Gustave Flaubert,"An epic story of lust, cruelty, and sensuality, this historical novel is set in Carthage in the days following the First Punic War with Rome. Few French historical novels can stand comparison with Salammbo.",0.248275,0.581499,0.461536,0.097106,0.467738,3,https://whatdoido.kro.kr/movie/1395.jpg,,
1454,The Lance Armstrong Performance Program: 7 Weeks to the Perfect Ride,"Lance Armstrong,Chris Carmichael,Peter Joffre Nye","A TRAINING PROGRAM SO SIMPLE, IT'S LIKE RIDING A BICYCLE...WITH THE BEST IN THE WORLD!,In 1999 the world watched spellbound as Lance Armstrong achieved one of the most dramatic comebacks in sports history, winning the grueling Tour de France just three years after being diagnosed with advanced testicular cancer. Lance's return road to glory took courage, determination, and,A TRAINING PROGRAM SO SIMPLE, IT'S LIKE RIDING A BICYCLE...WITH THE BEST IN THE WORLD!,In 1999 the world watched spellbound as Lance Armstrong achieved one of the most dramatic comebacks in sports history, winning the grueling Tour de France just three years after being diagnosed with advanced testicular cancer. Lance's return road to glory took courage, determination, and a top-notch training program. Now Lance's winning strategies-- developed with coach Chris Carmichael-- can be yours, too! Whether you're a cycling novice or a competitive racer,,will teach you how to:,* find the right bike for your body,* know when to brake only as a last resort!,* corner, climb, and descend like a pro,* develop your explosive power to sprint,* incorporate cross-training into your schedule,* build necessary mental toughness...,* and much more!,Simple and focused, Lance's proven program will transform you into the rider you want to be-- in just seven weeks!",0.05502,0.871804,0.047555,0.003011,0.020093,3,https://whatdoido.kro.kr/movie/1454.jpg,,
1610,The Complete Short Stories,"H.G. Wells,John R. Hammond","Herbert George Wells was perhaps best known as the author of such classic works of science fiction as,and,But it was in his short stories, written when he was a young man embarking on a literary career, that he first explored the enormous potential of the scientific discoveries of the day. He described his stories as \a miscellany of inv,Herbert George Wells was perhaps best known as the author of such classic works of science fiction as,and,But it was in his short stories, written when he was a young man embarking on a literary career, that he first explored the enormous potential of the scientific discoveries of the day. He described his stories as \a miscellany of inventions,\ yet his enthusiasm for science was tempered by an awareness of its horrifying destructive powers and the threat it could pose to the human race. A consummate storyteller, he made fantastic creatures and machines entirely believable, and by placing ordinary men and women in extraordinary situations, he explored, with humor, what it means to be alive in a century of rapid scientific progress. At the dawn of a new millennium, Wells' singular vision is more compelling than ever.",0.184552,0.452777,0.400317,0.011427,0.088852,3,https://whatdoido.kro.kr/movie/1610.jpg,,
1861,The Crossing,Gary Paulsen,"A critically acclaimed tearjerker from a master storyteller: On one side of the border is brutality and heartache; on the other side--a new life.,14yo Manny is an orphan in Juarez, Mexico. He competes with his bigger, meaner rivals for the coins American tourists throw off the bridge between Texas and his town. Across that heavily guarded bridge await a different world and,A critically acclaimed tearjerker from a master storyteller: On one side of the border is brutality and heartache; on the other side--a new life.,14yo Manny is an orphan in Juarez, Mexico. He competes with his bigger, meaner rivals for the coins American tourists throw off the bridge between Texas and his town. Across that heavily guarded bridge await a different world and a better existence.On the night when Manny dares the crossing--through the muddy shallows of the Rio Grande, past the searchlights and the border patrol--the young man encounters an old stranger who could prove to be an ally or an enemy. Manny can't tell for certain. But if he is to achieve his dream, then he must be willing to risk everything--even his life.",0.339656,0.47856,0.171369,0.058023,0.054808,1,https://whatdoido.kro.kr/movie/1861.jpg,,
1889,Lost Horizon,James Hilton,"While attempting to escape a civil war, four people are kidnapped and transported to the Tibetan mountains. After their plane crashes, they are found by a mysterious Chinese man. He leads them to a monastery hidden in \the valley of the blue moon\ -- a land of mystery and matchless beauty where life is lived in tranquil wonder, beyond the grasp of a doomed world.,It is here,While attempting to escape a civil war, four people are kidnapped and transported to the Tibetan mountains. After their plane crashes, they are found by a mysterious Chinese man. He leads them to a monastery hidden in \the valley of the blue moon\ -- a land of mystery and matchless beauty where life is lived in tranquil wonder, beyond the grasp of a doomed world.,It is here, in Shangri-La, where destinies will be discovered and the meaning of paradise will be unveiled.",0.058648,0.656579,0.082783,0.039272,0.032554,1,https://whatdoido.kro.kr/movie/1889.jpg,,
1890,Lost Horizon,James Hilton,"While attempting to escape a civil war, four people are kidnapped and transported to the Tibetan mountains. After their plane crashes, they are found by a mysterious Chinese man. He leads them to a monastery hidden in \the valley of the blue moon\ -- a land of mystery and matchless beauty where life is lived in tranquil wonder, beyond the grasp of a doomed world.,It is here,While attempting to escape a civil war, four people are kidnapped and transported to the Tibetan mountains. After their plane crashes, they are found by a mysterious Chinese man. He leads them to a monastery hidden in \the valley of the blue moon\ -- a land of mystery and matchless beauty where life is lived in tranquil wonder, beyond the grasp of a doomed world.,It is here, in Shangri-La, where destinies will be discovered and the meaning of paradise will be unveiled.",0.058648,0.656579,0.082783,0.039272,0.032554,1,https://whatdoido.kro.kr/movie/1890.jpg,,
1911,Frances Hodgson Burnett: The Unexpected Life of the Author of the Secret Garden,Gretchen Holbrook Gerzina,"Hugely successful in her own time for adult novels and plays, Frances Hodgson Burnett 1849-1924 would be astounded to find out she is remembered for a handful of books for children, but most of all for the enormously popular Secret Garden. This fascinating biography-the first to have the full cooperation of Burnett's descendants and relatives-examines her life with livel,Hugely successful in her own time for adult novels and plays, Frances Hodgson Burnett 1849-1924 would be astounded to find out she is remembered for a handful of books for children, but most of all for the enormously popular Secret Garden. This fascinating biography-the first to have the full cooperation of Burnett's descendants and relatives-examines her life with lively intelligence, sensitivity, and fascinating new, never-before-published material.,Burnett's life was full of those reversals of fortune that mark her work. Following modest beginnings in mid-Victorian Manchester, she arrived in post-Civil War Tennessee at the age of fifteen with her widowed mother and two sisters. Burnett was the breadwinner of the family from the age of seventeen, eventually publishing a total of fifty-two books and writing and producing thirteen plays. She made and spent a fortune in her lifetime, was generous and profligate, yet anxious about money and obsessively hardworking.,Constantly restless and inventive, Burnett's personal life was as complex as her professional one. Her first marriage to a southern doctor disintegrated as a result of her notorious flirtations and a scandalous affair, and her subsequent marriage to an English doctor turned actor suffered a similar fate. She understood the intensity and loneliness of the thoughtful child, but was herself a largely absent mother of two sons-overwhelmed by guilt when tragedy struck one of them; the other one never got over being the model for Little Lord Fauntleroy.,A woman of contrasts and paradoxes, this quintessentially British writer was equally at home in the United States, which honored her with a memorial in Central Park. Frances Hodgson Burnett reinvented for herself and for generations to come in both countries the magic and the mystery of the childhood she never had.",0.318572,0.645911,0.018602,0.012308,0.017875,0,https://whatdoido.kro.kr/movie/1911.jpg,,
2055,Music with the Brain in Mind,Eric Jensen,This timely resource covers the latest brain and music research and provides practical strategies for incorporating the musical arts to support learning at all levels.,0.251574,0.479504,0.01584,0.018756,0.066837,3,https://whatdoido.kro.kr/movie/2055.jpg,,
2098,Captain Corelli's Mandolin,"Mary Tomalin,Louis de BerniÃÂ¨res","In 1941, Captain Antonio Corelli, a young Italian officer is posted to the Greek Island of Cephallonia as part of the occupying forces. His aim is to have a peaceful war and he soon becomes popular with the islanders especially the doctor's daughter, Pelagia. But she has a fianc? who is away fighting the war ...A stunning novel of joy and sorrow - not to be missed.,In 1941, Captain Antonio Corelli, a young Italian officer is posted to the Greek Island of Cephallonia as part of the occupying forces. His aim is to have a peaceful war and he soon becomes popular with the islanders especially the doctor's daughter, Pelagia. But she has a fianc? who is away fighting the war ...A stunning novel of joy and sorrow - not to be missed.",0.153353,0.530711,0.043423,0.148566,0.064288,1,https://whatdoido.kro.kr/movie/2098.jpg,,
2140,The World is Flat,Thomas L. Friedman,"The World Is Flat is a timely and essential update on globalization, its successes and discontents, illuminated by one of our most respected journalists.",0.082442,0.628224,0.041074,0.006056,0.083842,3,https://whatdoido.kro.kr/movie/2140.jpg,,
